age,gender,education,smoking,alcohol,internet_usage,music,slow_songs,dance,folk,country,classical,musical,pop,rock,metal_hardrock,punk,hiphop_rap,reggae_ska,swing_jazz,rock_n_roll,alternative,latino,techno_trance,opera,Cluster
20.0,female,college/bachelor degree,never smoked,drink a lot,few hours a day,5.0,3.0,2.0,1.0,2.0,2.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,29
19.0,female,college/bachelor degree,never smoked,drink a lot,few hours a day,4.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,5.0,4.0,4.0,1.0,3.0,1.0,4.0,4.0,2.0,1.0,1.0,37
20.0,female,secondary school,tried smoking,drink a lot,few hours a day,5.0,5.0,2.0,2.0,3.0,4.0,5.0,3.0,5.0,3.0,4.0,1.0,4.0,3.0,5.0,5.0,5.0,1.0,3.0,10
22.0,female,college/bachelor degree,former smoker,drink a lot,most of the day,5.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,5.0,1.0,2.0,1.0,37
20.0,female,secondary school,tried smoking,social drinker,few hours a day,5.0,3.0,4.0,3.0,2.0,4.0,3.0,5.0,3.0,1.0,2.0,5.0,3.0,2.0,1.0,2.0,4.0,2.0,2.0,18
20.0,male,secondary school,never smoked,never,few hours a day,5.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,1.0,3.0,12
20.0,female,secondary school,tried smoking,social drinker,less than an hour a day,5.0,5.0,5.0,3.0,1.0,2.0,2.0,5.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,5.0,2.0,23
19.0,male,college/bachelor degree,current smoker,drink a lot,few hours a day,5.0,3.0,3.0,2.0,1.0,2.0,2.0,4.0,5.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,90
18.0,female,secondary school,tried smoking,social drinker,few hours a day,5.0,3.0,3.0,1.0,1.0,2.0,4.0,3.0,5.0,5.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,82
19.0,female,secondary school,never smoked,drink a lot,few hours a day,5.0,3.0,2.0,5.0,2.0,2.0,5.0,3.0,5.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,1.0,2.0,17
19.0,female,secondary school,current smoker,social drinker,less than an hour a day,5.0,3.0,3.0,2.0,1.0,2.0,3.0,4.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,5
17.0,female,primary school,tried smoking,never,few hours a day,5.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,2.0,1.0,2.0,26
24.0,female,college/bachelor degree,tried smoking,social drinker,few hours a day,5.0,3.0,1.0,2.0,1.0,4.0,3.0,3.0,5.0,4.0,2.0,3.0,1.0,1.0,4.0,3.0,2.0,1.0,2.0,74
19.0,female,secondary school,never smoked,social drinker,few hours a day,5.0,3.0,5.0,3.0,2.0,1.0,5.0,5.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,79
22.0,female,college/bachelor degree,current smoker,social drinker,most of the day,5.0,3.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,2.0,5.0,3.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,44
18.0,male,secondary school,former smoker,social drinker,few hours a day,1.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,2.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,56
19.0,female,college/bachelor degree,current smoker,drink a lot,few hours a day,5.0,3.0,3.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,4.0,1.0,15
20.0,female,secondary school,tried smoking,social drinker,few hours a day,5.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,1.0,2.0,1.0,3.0,11
18.0,male,secondary school,tried smoking,social drinker,few hours a day,5.0,3.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1
18.0,male,secondary school,former smoker,drink a lot,few hours a day,5.0,4.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,5.0,2.0,1.0,4.0,5.0,4.0,3.0,4.0,3.0,2.0,99
