age,gender,education,smoking,alcohol,internet_usage,village_town,music,Ambient,Fusion Beat,Fusion Hardcore,Metal,Jazz,Rock,World & Electronic Music,Punk,Folk,Traditional Music,Indie,"Blues, Soul & Country",Classical,"Comedy, Literature & Cultural Narratives",Pop,Rap
20.0,female,college/bachelor degree,never smoked,drink a lot,few hours a day,village,5.0,1.7272727272727273,1.9047619047619049,1.1111111111111112,1.0,1.1666666666666667,3.3846153846153846,2.214285714285714,1.1666666666666667,1.1666666666666667,2.7,2.333333333333333,2.363636363636364,1.5,2.625,3.6666666666666665,1.5
19.0,female,college/bachelor degree,never smoked,drink a lot,few hours a day,city,4.0,2.5454545454545454,2.0476190476190474,2.1111111111111107,4.0,1.1666666666666667,4.230769230769232,2.357142857142857,3.666666666666667,1.1666666666666667,2.7,3.533333333333333,1.5454545454545454,1.0,3.25,2.555555555555556,1.5
20.0,female,secondary school,tried smoking,drink a lot,few hours a day,city,5.0,4.636363636363637,3.095238095238095,1.777777777777778,3.0,2.833333333333333,4.769230769230769,2.642857142857143,3.666666666666667,2.0,4.1,4.333333333333333,2.636363636363636,3.5,3.875,2.555555555555556,1.5
22.0,female,college/bachelor degree,former smoker,drink a lot,most of the day,city,5.0,1.7272727272727273,1.6666666666666663,1.6666666666666667,1.0,1.1666666666666667,2.4615384615384617,2.0,3.666666666666667,1.1666666666666667,1.8000000000000005,2.8666666666666667,1.3636363636363638,1.0,2.625,2.0,2.0
20.0,female,secondary school,tried smoking,social drinker,few hours a day,village,5.0,2.818181818181818,3.952380952380952,1.8888888888888888,1.0,2.333333333333333,2.153846153846154,3.642857142857143,2.333333333333333,3.1666666666666665,3.7,2.2666666666666666,3.090909090909091,3.0,3.375,4.555555555555555,4.5
20.0,male,secondary school,never smoked,never,few hours a day,city,5.0,3.0,2.6666666666666665,2.4444444444444446,5.0,3.666666666666667,4.384615384615385,2.142857142857143,2.833333333333333,2.833333333333333,2.6,4.266666666666666,2.1818181818181817,3.0,2.625,2.0,3.0
20.0,female,secondary school,tried smoking,social drinker,less than an hour a day,village,5.0,3.0909090909090917,3.2857142857142856,3.6666666666666665,1.0,1.6666666666666663,2.7692307692307696,3.8571428571428568,1.6666666666666663,3.333333333333333,3.8,2.8,2.8181818181818183,2.0,5.0,5.0,4.0
19.0,male,college/bachelor degree,current smoker,drink a lot,few hours a day,city,5.0,2.363636363636364,2.571428571428572,2.333333333333333,1.0,2.166666666666667,3.461538461538461,2.9285714285714284,2.166666666666667,2.166666666666667,2.9000000000000004,2.6,2.090909090909091,2.0,3.0,3.555555555555556,3.0
18.0,female,secondary school,tried smoking,social drinker,few hours a day,city,5.0,3.090909090909091,1.9047619047619049,2.555555555555556,5.0,2.166666666666667,3.3846153846153846,2.4285714285714284,1.3333333333333337,1.3333333333333337,3.4,3.0666666666666664,1.7272727272727273,1.5,3.0,3.0,2.0
19.0,female,secondary school,never smoked,drink a lot,few hours a day,city,5.0,3.727272727272727,3.142857142857143,1.4444444444444444,2.0,3.666666666666667,4.230769230769232,2.642857142857143,2.833333333333333,4.5,3.7,3.9333333333333327,2.7272727272727275,2.0,2.625,2.555555555555556,2.0
