genres,cluster
21st century classical,87
432hz,114
8-bit,123
[],119
a cappella,2
abstract,71
abstract beats,51
abstract hip hop,33
accordeon,135
accordion,133
acid house,23
acid rock,18
acid trance,123
acousmatic,65
acoustic blues,82
acoustic pop,49
acoustic punk,26
acoustic rock,2
action rock,60
adoracion,126
adult standards,133
adventista,133
afghan pop,102
afghan traditional,84
african percussion,91
african reggae,19
african rock,102
african-american classical,148
afro dancehall,64
afro house,17
afro psych,102
afro soul,43
afro-funk,83
afrobeat,18
afrofuturism,29
afrofuturismo brasileiro,115
afropop,102
afroswing,64
aggrotech,12
alabama indie,46
alabama metal,59
alabama rap,38
alaska indie,19
albanian pop,67
albany ny indie,25
alberta country,93
alberta hip hop,43
album rock,39
albuquerque indie,46
alt-idol,32
alte,83
alternative americana,46
alternative country,46
alternative dance,12
alternative emo,59
alternative hip hop,33
alternative metal,144
alternative pop,77
alternative pop rock,17
alternative r&b,29
alternative rock,77
alternative roots rock,9
ambeat,135
ambient,61
ambient black metal,109
ambient folk,24
ambient house,23
ambient idm,31
ambient industrial,103
ambient pop,141
ambient techno,135
ambient worship,31
american 21st century classical,47
american choir,124
american classical piano,61
american contemporary classical,61
american early music,148
american folk revival,133
american metalcore,90
american modern classical,13
american oi,125
american orchestra,68
american post-rock,71
american primitive,98
american romanticism,58
american shoegaze,109
anadolu rock,10
anarcho-punk,70
anglican liturgy,68
animal singing,100
anime,12
anime latino,144
anime rock,105
anime score,31
ann arbor indie,34
anthem emo,59
anthem worship,9
anti-folk,46
antilliaanse folklore,99
antiviral pop,138
appalachian folk,119
arab folk,13
arab groove,10
arab pop,10
arabesk,49
arabic hip hop,76
arabic jazz,80
argentine ambient,63
argentine hardcore,8
argentine heavy metal,105
argentine hip hop,138
argentine indie,46
argentine metal,108
argentine punk,8
argentine reggae,19
argentine rock,46
argentine telepop,17
arizona punk,9
arkansas country,26
arkansas hip hop,11
arkansas indie,34
armenian folk,141
art pop,46
art punk,39
art rock,77
art song,148
asbury park indie,12
asheville indie,18
asian american hip hop,138
asmr,87
athens indie,77
atl hip hop,38
atl trap,38
atlanta indie,39
atlanta metal,32
atlanta punk,70
atmosphere,47
atmospheric black metal,109
atmospheric dnb,83
atmospheric post-metal,94
atmospheric post-rock,125
atmospheric sludge,94
auckland indie,93
audiophile vocal,96
aussietronica,11
austin americana,46
austin singer-songwriter,140
austindie,46
australian alternative pop,89
australian alternative rock,81
australian ambient,120
australian children's music,26
australian choir,148
australian classical,128
australian classical piano,101
australian country,18
australian dance,23
australian electropop,115
australian garage punk,93
australian hip hop,17
australian house,12
australian indie,93
australian indie folk,49
australian indie rock,108
australian indigenous,144
australian metal,3
australian metalcore,59
australian pop,12
australian post-hardcore,46
australian post-punk,77
australian psych,12
australian r&b,34
australian reggae fusion,11
australian rock,39
australian singer-songwriter,46
australian ska,90
australian talent show,93
australian trap,38
australian underground hip hop,127
austrian choir,68
austrian classical piano,61
austrian orchestra,61
austrian pop,63
austro-german modernism,7
austropop,43
autoharp,86
autonomous black metal,130
avant-garde,7
avant-garde jazz,13
avant-garde metal,92
axe,17
azeri traditional,10
azonto,64
azontobeats,102
bachata,19
bachata dominicana,19
background music,36
background piano,128
baglama,20
bahai,52
bahamian folk,53
bahamian pop,43
baiao,53
bajki,24
bakersfield sound,100
balearic,103
balkan brass,34
balkan classical piano,55
ballet class,27
ballroom,131
baltic classical,1
baltimore hip hop,138
baltimore indie,59
banda,19
banda caliente,19
banda carnavalera,83
bandinhas,99
bandolim,53
bandoneon,48
bangla,20
banjo,26
bansuri,120
barbadian pop,62
barbershop,119
bard,133
barnmusik,126
barockinterpreten,15
baroque,58
baroque brass,128
baroque ensemble,27
baroque pop,46
baroque singing,68
baroque violin,27
baroque woodwind,37
bass house,93
bass music,45
bass trap,93
basshall,138
bassline,23
bath indie,12
baton rouge indie,39
baton rouge rap,38
battle rap,33
bay area hip hop,64
bay area indie,59
bboy,4
bc underground hip hop,11
beach music,82
beat italiano,18
beat poetry,146
beatboxing,35
beatlesque,39
bebop,13
bedroom pop,24
bedroom soul,46
belarusian indie,123
belarusian pop,143
belarusian rock,143
belgian classical piano,120
belgian contemporary classical,98
belgian dance,23
belgian edm,23
belgian hardcore,118
belgian indie,45
belgian indie rock,57
belgian jazz,99
belgian new wave,92
belgian pop,11
belgian rock,63
belgian singer-songwriter,10
belgian techno,57
belly dance,102
bengali folk,20
beninese pop,8
bergen indie,17
berlin minimal techno,25
berlin school,71
bhajan,119
bhangra,83
bible,55
big band,119
big beat,45
big room,23
binaural,110
birdsong,94
birmingham grime,43
birmingham hip hop,108
birmingham metal,77
bitpop,90
black 'n' roll,95
black comedy,5
black metal,73
black punk,70
black thrash,73
blackened crust,95
blackgaze,71
bleep techno,6
bluegrass,26
bluegrass fiddle,131
bluegrass gospel,26
blues,133
blues latinoamericano,90
blues mexicano,129
blues rock,39
bmore,93
bolero,133
bolero cubano,82
boogaloo,18
boogie,67
boogie-woogie,119
boom bap,88
boom bap brasileiro,88
bossa nova,82
bossa nova jazz,37
boston folk,24
boston hardcore,9
boston hip hop,35
boston indie,51
boston metal,104
boston punk,59
boston rock,81
bounce,4
bouncy house,105
bouzouki,53
bow pop,31
boy band,12
boy pop,81
boy soprano,61
brain waves,110
braindance,63
brass band,116
brass ensemble,65
brass quintet,61
brazilian boogie,102
brazilian classical,15
brazilian classical piano,61
brazilian contemporary classical,101
brazilian edm,39
brazilian groove metal,3
brazilian hip hop,35
brazilian indie,26
brazilian jazz,131
brazilian metal,3
brazilian modern jazz,2
brazilian percussion,48
brazilian punk,136
brazilian reggae,4
brazilian rock,39
brazilian ska,54
brazilian soul,135
brazilian thrash metal,3
breakbeat,77
breakcore,19
brega,26
breton folk,80
brighton indie,9
brill building pop,26
brisbane indie,12
bristol electronic,63
bristol indie,123
brit funk,102
british alternative rock,140
british black metal,32
british blues,39
british children's music,62
british choir,68
british classical piano,120
british comedy,26
british contemporary classical,61
british dance band,84
british death metal,73
british experimental,56
british folk,133
british grindcore,73
british indie rock,93
british industrial,56
british invasion,26
british jazz,31
british modern classical,58
british orchestra,27
british post-rock,98
british power metal,144
british singer-songwriter,89
british soul,93
british soundtrack,141
britpop,9
broadway,2
broken beat,116
bronx hip hop,33
brooklyn drill,30
brooklyn indie,9
brostep,12
brutal death metal,109
brutal deathcore,39
bubble trance,45
bubblegrunge,93
bubblegum dance,17
bubblegum pop,26
buffalo hip hop,88
buffalo ny indie,85
buffalo ny metal,32
bulgarian experimental,72
burmese traditional,84
bush ballad,96
c-pop,2
c86,39
cabaret,84
cajun,26
calgary indie,125
cali rap,33
calming instrumental,128
calypso,53
cambodian rock,81
cambridge choir,36
cambridgeshire indie,10
cameroonian pop,100
canadian americana,2
canadian blues,46
canadian ccm,93
canadian celtic,26
canadian children's music,82
canadian choir,68
canadian classical,137
canadian classical piano,120
canadian comedy,2
canadian contemporary country,93
canadian contemporary r&b,46
canadian country,46
canadian electronic,12
canadian electropop,23
canadian experimental,27
canadian folk,24
canadian hardcore,9
canadian hip hop,38
canadian house,21
canadian indie,46
canadian indie folk,2
canadian indigenous,18
canadian indigenous hip hop,11
canadian latin,19
canadian metal,32
canadian metalcore,104
canadian modern jazz,85
canadian pop,12
canadian pop punk,105
canadian post-hardcore,59
canadian post-rock,122
canadian psychedelic,31
canadian punk,59
canadian rock,59
canadian rockabilly,135
canadian singer-songwriter,24
canadian soundtrack,128
cancion melodica,24
candy pop,59
cantautor,46
cante flamenco,26
canterbury scene,126
canto popular uruguayo,24
cantopop,2
canzone d'autore,24
canzone genovese,119
canzone napoletana,74
cape town indie,104
cape verdean folk,2
capoeira,146
caracas indie,83
carnatic,13
carnatic instrumental,48
carnatic vocal,13
cartoon,35
cathedral choir,142
caucasian classical,7
caucasian classical piano,47
ccm,9
cedm,81
cello,128
celtic,2
celtic harp,55
celtic metal,90
celtic punk,17
celtic rock,46
cha-cha-cha,100
chakra,137
chamame,2
chamber choir,68
chamber ensemble,101
chamber folk,49
chamber orchestra,61
chamber pop,24
chamber psych,31
champeta,17
channel islands indie,35
channel pop,24
chanson,2
chanson paillarde,67
chaotic hardcore,32
charanga,100
charango,67
charlotte nc indie,38
charlottesville indie,93
chattanooga indie,96
chicago blues,133
chicago drill,38
chicago hardcore,90
chicago house,135
chicago indie,12
chicago pop punk,104
chicago punk,70
chicago rap,38
chicago soul,26
chicano punk,144
chicano rap,33
chicha,135
chihuahua indie,49
children's choir,133
children's folk,111
children's music,111
children's story,146
chilean hardcore,17
chilean indie,85
chilean rock,85
chilena,83
chill beats,45
chill guitar,120
chill lounge,53
chill out,16
chill pop,100
chill r&b,29
chillhop,35
chillstep,104
chillwave,9
chinese audiophile,2
chinese classical,58
chinese classical performance,120
chinese classical piano,47
chinese electropop,11
chinese hip hop,93
chinese idol pop,43
chinese indie,24
chinese indie rock,129
chinese instrumental,68
chinese jazz,111
chinese r&b,24
chinese soundtrack,58
chinese traditional,15
chiptune,98
chopped and screwed,30
choral,68
choro,53
christchurch indie,31
christelijk,74
christian a cappella,24
christian alternative rock,9
christian dance,11
christian hard rock,59
christian hardcore,81
christian hip hop,38
christian indie,89
christian metal,59
christian metalcore,3
christian music,89
christian pop,12
christian power metal,77
christian punk,81
christian relaxative,27
christian rock,59
christian trap,38
christian uplift,24
christmas instrumental,112
christmas product,52
chunchaca,4
chutney,102
cincinnati rap,38
cinematic post-rock,144
circuit,123
circus,10
classic afrobeat,83
classic arab pop,13
classic australian country,133
classic belgian pop,17
classic bhangra,135
classic bollywood,119
classic canadian rock,81
classic cantopop,2
classic colombian pop,37
classic country pop,82
classic czech pop,20
classic danish pop,82
classic dubstep,3
classic eurovision,20
classic finnish pop,106
classic french pop,125
classic garage rock,39
classic girl group,26
classic greek pop,37
classic hardstyle,145
classic icelandic pop,21
classic indo pop,32
classic iskelma,37
classic israeli pop,24
classic italian folk pop,20
classic italian pop,24
classic j-rock,45
classic japanese jazz,116
classic korean pop,96
classic latvian pop,74
classic mandopop,2
classic norwegian pop,108
classic opm,89
classic pakistani pop,119
classic persian pop,10
classic peruvian pop,26
classic polish pop,10
classic praise,2
classic psychedelic rock,31
classic punjabi pop,26
classic rock,39
classic russian pop,37
classic russian rock,39
classic schlager,133
classic soul,82
classic soundtrack,7
classic swedish pop,18
classic thai pop,132
classic tunisian pop,83
classic turkish pop,10
classic uk pop,46
classic venezuelan pop,26
classical,7
classical accordion,89
classical baritone,74
classical bass,124
classical cello,61
classical clarinet,141
classical contralto,7
classical countertenor,55
classical era,7
classical flute,27
classical guitar,120
classical harp,120
classical horn,120
classical mandolin,131
classical mezzo-soprano,68
classical oboe,61
classical organ,27
classical performance,68
classical piano,120
classical piano duo,110
classical piano trio,137
